item_type_id,customer_id,lifetime
345,45,233.17899999999997
284,32,141.054
345,45,233.168
284,32,111.918
345,45,233.159
344,45,234.06
284,32,141.054
285,32,72.773
345,45,234.123
348,45,318.059
345,45,191.005
345,45,234.071
345,45,253.99
284,32,193.023
345,45,234.147
345,45,234.096
345,45,234.104
340,45,251.943
345,45,234.096
284,32,141.054
284,32,82.958
341,45,238.89600000000002
344,45,234.18800000000002
340,45,305.162
344,45,234.213
352,45,318.81399999999996
344,45,234.18800000000002
352,45,280.64300000000003
344,45,234.88
285,32,72.773
344,45,234.88
355,45,240.999
344,45,234.887
344,45,234.88799999999998
345,45,191.155
345,45,252.82999999999998
340,45,232.09
348,45,317.987
